date,receipt,change
2025-06-03,0,0.0
2025-06-04,0,0.0
2025-06-05,0,0.0
2025-06-06,0,0.0
2025-06-09,0,0.0
2025-06-10,0,0.0
2025-06-11,0,0.0
2025-06-12,0,0.0
2025-06-13,0,0.0
2025-06-16,0,0.0
2025-06-17,0,0.0
2025-06-18,100,100.0
2025-06-19,100,0.0
2025-06-20,100,0.0
2025-06-23,100,0.0
2025-06-24,100,0.0
2025-06-25,100,0.0
2025-06-26,100,0.0
2025-06-27,100,0.0
2025-06-30,100,0.0
2025-07-01,100,0.0
2025-07-02,100,0.0
2025-07-03,100,0.0
2025-07-04,805,705.0
2025-07-07,805,0.0
2025-07-08,2720,1915.0
2025-07-09,3021,301.0
2025-07-10,3021,0.0
2025-07-11,3510,489.0
2025-07-14,3510,0.0
2025-07-15,3510,0.0
2025-07-16,3510,0.0
2025-07-17,3489,-21.0
2025-07-18,3487,-2.0
2025-07-21,3487,0.0
2025-07-22,3487,0.0
2025-07-23,3487,0.0
2025-07-24,3487,0.0
2025-07-25,3487,0.0
2025-07-28,3487,
2025-07-29,3487,
2025-07-30,3487,0.0
2025-07-31,3487,0.0
2025-08-01,3487,0.0
2025-08-04,3487,
2025-08-05,3487,0.0
2025-08-06,3487,
2025-08-07,3487,0.0
2025-08-08,3487,0.0
2025-08-11,3487,0.0
2025-08-12,3487,0.0
2025-08-13,3487,0.0
2025-08-14,3487,0.0
2025-08-15,3487,0.0
2025-08-18,3487,0.0
2025-08-19,3487,0.0
2025-08-20,3487,0.0
2025-08-21,3487,0.0
2025-08-22,3487,0.0
2025-08-25,3487,0.0
2025-08-26,3487,0.0
2025-08-27,3887,400.0
2025-08-28,3887,0.0
2025-08-29,3887,0.0
2025-09-01,3887,0.0
2025-09-02,4487,600.0
2025-09-03,4487,0.0
2025-09-04,4722,235.0
2025-09-05,6028,1306.0
2025-09-08,6028,0.0
2025-09-09,6470,442.0
2025-09-10,6857,387.0
2025-09-11,6953,96.0
2025-09-12,8302,1349.0
2025-09-15,8202,-100.0
2025-09-16,8202,0.0
2025-09-17,8202,0.0
2025-09-18,8202,0.0
2025-09-19,8202,0.0
2025-09-22,8182,
2025-09-23,8182,0.0
2025-09-24,8057,-125.0
2025-09-25,8057,0.0
2025-09-26,8057,0.0
2025-09-29,8057,0.0
2025-09-30,8057,0.0
2025-10-09,8057,0.0
2025-10-10,8057,0.0
2025-10-13,8147,90.0
2025-10-14,7590,-557.0
2025-10-15,7590,0.0
2025-10-16,7590,0.0
2025-10-17,7590,0.0
2025-10-20,7590,0.0
2025-10-21,7540,-50.0
2025-10-22,7540,0.0
2025-10-23,7540,0.0
2025-10-24,7540,0.0
2025-10-27,7540,0.0
2025-10-28,7540,0.0
2025-10-29,7540,0.0
2025-10-30,7540,0.0
2025-10-31,7540,0.0
2025-11-03,7540,0.0
2025-11-04,7540,0.0
2025-11-05,6838,-702.0
2025-11-06,5112,-1726.0
2025-11-07,5024,-88.0
2025-11-10,4098,-926.0
2025-11-11,5698,1600.0
2025-11-12,5373,-325.0
2025-11-13,5323,-50.0
2025-11-14,5323,0.0
2025-11-17,5323,0.0
2025-11-18,5253,-70.0
2025-11-19,4161,-1092.0
2025-11-20,4131,-30.0
2025-11-21,4033,-98.0
2025-11-24,3976,-57.0
2025-11-25,3968,-8.0
2025-11-26,3965,-3.0
2025-11-27,3965,0.0
2025-11-28,3965,0.0
2025-12-01,3855,-110.0
2025-12-02,3812,-43.0
2025-12-03,3812,0.0
2025-12-04,3792,-20.0
2025-12-05,3792,0.0
2025-12-08,3772,-20.0
2025-12-09,3721,-51.0
2025-12-10,3490,-231.0
2025-12-11,3490,0.0
2025-12-12,3476,-14.0
2025-12-15,3456,-20.0
2025-12-16,3386,-70.0
2025-12-17,3336,-50.0
2025-12-18,4006,670.0
2025-12-19,3926,-80.0
2025-12-22,3876,-50.0
2025-12-23,3876,0.0
2025-12-24,3866,-10.0
2025-12-25,3786,-80.0
2025-12-26,3456,-330.0
2025-12-29,3456,0.0
2025-12-30,3397,-59.0
2025-12-31,3297,-100.0
