date,value,change,增减
2025-05-13,7180,0.0,
2025-05-14,7120,-60.0,
2025-05-15,7320,200.0,
2025-05-16,6980,-340.0,
2025-05-19,6680,-300.0,
2025-05-20,6620,-60.0,
2025-05-21,6820,200.0,
2025-05-22,6820,0.0,
2025-05-23,6790,-30.0,
2025-05-26,6750,-40.0,
2025-05-27,6400,-350.0,
2025-05-28,6230,-170.0,
2025-05-29,6230,0.0,
2025-05-30,6210,-20.0,
2025-06-03,6120,-90.0,
2025-06-04,6050,-70.0,
2025-06-05,5950,-100.0,
2025-06-06,5950,0.0,
2025-06-09,5780,-170.0,
2025-06-10,5720,-60.0,
2025-06-11,5570,-150.0,
2025-06-12,5470,-100.0,
2025-06-13,5170,-300.0,
2025-06-16,5170,0.0,
2025-06-17,5170,0.0,
2025-06-18,5170,0.0,
2025-06-19,800,-4370.0,
2025-06-20,800,0.0,
2025-06-23,800,0.0,
2025-06-24,800,0.0,
2025-06-25,800,0.0,
2025-06-26,700,-100.0,
2025-06-27,700,0.0,
2025-06-30,700,0.0,
2025-07-01,700,0.0,
2025-07-02,700,0.0,
2025-07-03,700,0.0,
2025-07-04,700,0.0,
2025-07-07,1100,400.0,
2025-07-08,1600,500.0,
2025-07-09,1600,0.0,
2025-07-10,1600,0.0,
2025-07-11,1600,0.0,
2025-07-14,1900,300.0,
2025-07-15,2100,200.0,
2025-07-16,2100,0.0,
2025-07-17,2100,0.0,
2025-07-18,2100,0.0,
2025-07-21,2100,0.0,
2025-07-22,2400,300.0,
2025-07-23,2390,-10.0,
2025-07-24,2390,0.0,
2025-07-25,2390,0.0,
2025-07-28,2290,-100.0,
2025-07-29,2290,0.0,
2025-07-30,2290,0.0,
2025-07-31,2290,0.0,
2025-08-01,2290,0.0,
2025-08-04,2490,200.0,
2025-08-05,2490,0.0,
2025-08-06,2490,0.0,
2025-08-07,2490,0.0,
2025-08-08,2490,0.0,
2025-08-11,2490,0.0,
2025-08-12,2490,0.0,
2025-08-13,2490,0.0,
2025-08-14,2490,0.0,
2025-08-15,2490,0.0,
2025-08-18,2490,0.0,
2025-08-19,2490,0.0,
2025-08-20,2490,0.0,
2025-08-21,2490,0.0,
2025-08-22,2490,0.0,
2025-08-25,2490,0.0,
2025-08-26,2490,0.0,
2025-08-27,2490,0.0,
2025-08-28,2490,0.0,
2025-08-29,2490,0.0,
2025-09-01,2670,180.0,
2025-09-02,2770,100.0,
2025-09-03,2770,0.0,
2025-09-04,2770,0.0,
2025-09-05,2970,200.0,
2025-09-08,2970,0.0,
2025-09-09,2970,0.0,
2025-09-10,2970,0.0,
2025-09-11,2970,0.0,
2025-09-12,2970,0.0,
2025-09-15,2970,0.0,
2025-09-16,2970,0.0,
2025-09-17,2970,0.0,
2025-09-18,2610,-360.0,
2025-09-19,2610,0.0,
2025-09-22,2610,0.0,
2025-09-23,2610,0.0,
2025-09-24,2570,-40.0,
2025-09-25,2670,100.0,
2025-09-26,2670,0.0,
2025-09-29,2670,0.0,
2025-09-30,2770,100.0,
2025-10-09,2770,0.0,
2025-10-10,2870,100.0,
2025-10-13,2870,0.0,
2025-10-14,3070,200.0,
2025-10-15,3070,0.0,
2025-10-16,3070,0.0,
2025-10-17,3070,0.0,
2025-10-20,3070,0.0,
2025-10-21,3050,-20.0,
2025-10-22,3050,0.0,
2025-10-23,3050,0.0,
2025-10-24,3050,0.0,
2025-10-27,3050,0.0,
2025-10-28,3010,-40.0,
2025-10-29,3010,0.0,
2025-10-30,3010,0.0,
2025-10-31,3010,0.0,
2025-11-03,3010,0.0,
2025-11-04,3010,0.0,
2025-11-05,2990,-20.0,
2025-11-06,2990,0.0,
2025-11-07,2990,0.0,0.0
2025-11-10,2990,0.0,0.0
2025-11-11,2990,0.0,0.0
2025-11-12,2990,0.0,0.0
2025-11-13,2980,-10.0,-10.0
2025-11-14,2980,0.0,0.0
2025-11-17,2980,0.0,0.0
2025-11-18,2980,0.0,0.0
2025-11-19,2980,0.0,0.0
2025-11-20,2980,0.0,0.0
2025-11-21,2980,0.0,0.0
2025-11-24,2960,-20.0,-20.0
2025-11-25,2960,0.0,0.0
2025-11-26,2880,-80.0,-80.0
2025-11-27,2950,70.0,70.0
2025-11-28,3110,160.0,160.0
2025-12-01,3410,300.0,300.0
2025-12-02,3390,-20.0,-20.0
2025-12-03,3350,-40.0,-40.0
2025-12-04,3340,-10.0,-10.0
2025-12-05,3340,0.0,0.0
2025-12-08,4340,1000.0,1000.0
2025-12-09,4340,0.0,0.0
2025-12-10,4340,0.0,0.0
2025-12-11,4640,300.0,300.0
2025-12-12,4560,-80.0,-80.0
2025-12-15,4560,0.0,0.0
2025-12-16,4560,0.0,0.0
2025-12-17,4560,0.0,0.0
2025-12-18,4560,0.0,0.0
2025-12-19,4560,0.0,0.0
2025-12-22,4560,0.0,0.0
2025-12-23,4560,0.0,0.0
2025-12-24,4560,0.0,0.0
2025-12-25,4560,0.0,0.0
2025-12-26,4560,0.0,0.0
2025-12-29,4560,0.0,0.0
2025-12-30,4560,0.0,0.0
2025-12-31,4560,0.0,0.0
