date,value,change,增减
2025-05-06,7752,0.0,
2025-05-07,7752,0.0,
2025-05-08,7737,-15.0,
2025-05-09,6347,-1390.0,
2025-05-12,6762,415.0,
2025-05-13,5157,-1605.0,
2025-05-14,6352,1195.0,
2025-05-15,6602,250.0,
2025-05-16,7054,452.0,
2025-05-19,7495,441.0,
2025-05-20,8626,1131.0,
2025-05-21,8765,139.0,
2025-05-22,10382,1617.0,
2025-05-23,11245,863.0,
2025-05-26,11455,210.0,
2025-05-27,11430,-25.0,
2025-05-28,9905,-1525.0,
2025-05-29,9905,0.0,
2025-05-30,9905,0.0,
2025-06-03,9880,-25.0,
2025-06-04,9340,-540.0,
2025-06-05,9340,0.0,
2025-06-06,9340,0.0,
2025-06-09,9340,0.0,
2025-06-10,9340,0.0,
2025-06-11,9135,-205.0,
2025-06-12,9010,-125.0,
2025-06-13,9005,-5.0,
2025-06-16,9005,0.0,
2025-06-17,8919,-86.0,
2025-06-18,8769,-150.0,
2025-06-19,8358,-411.0,
2025-06-20,8358,0.0,
2025-06-23,8358,0.0,
2025-06-24,8358,0.0,
2025-06-25,8358,0.0,
2025-06-26,8358,0.0,
2025-06-27,8358,0.0,
2025-06-30,8358,0.0,
2025-07-01,8358,0.0,
2025-07-02,8358,0.0,
2025-07-03,8349,-9.0,
2025-07-04,8314,-35.0,
2025-07-07,8314,0.0,
2025-07-08,8304,-10.0,
2025-07-09,8304,0.0,
2025-07-10,8304,0.0,
2025-07-11,8304,0.0,
2025-07-14,8304,0.0,
2025-07-15,8304,0.0,
2025-07-16,8304,0.0,
2025-07-17,8304,0.0,
2025-07-18,8804,500.0,
2025-07-21,9304,500.0,
2025-07-22,9304,0.0,
2025-07-23,9804,500.0,
2025-07-24,9804,0.0,
2025-07-25,9804,0.0,
2025-07-28,9804,0.0,
2025-07-29,9804,0.0,
2025-07-30,9804,0.0,
2025-07-31,9804,0.0,
2025-08-01,9759,-45.0,
2025-08-04,9759,0.0,
2025-08-05,9749,-10.0,
2025-08-06,9719,-30.0,
2025-08-07,10199,480.0,
2025-08-08,10179,-20.0,
2025-08-11,10694,515.0,
2025-08-12,12974,2280.0,
2025-08-13,12953,-21.0,
2025-08-14,12948,-5.0,
2025-08-15,12888,-60.0,
2025-08-18,12878,-10.0,
2025-08-19,13318,440.0,
2025-08-20,13298,-20.0,
2025-08-21,13283,-15.0,
2025-08-22,12887,-396.0,
2025-08-25,13307,420.0,
2025-08-26,13267,-40.0,
2025-08-27,13242,-25.0,
2025-08-28,13227,-15.0,
2025-08-29,13207,-20.0,
2025-09-01,13187,-20.0,
2025-09-02,13128,-59.0,
2025-09-03,13118,-10.0,
2025-09-04,13088,-30.0,
2025-09-05,13008,-80.0,
2025-09-08,13008,0.0,
2025-09-09,13008,0.0,
2025-09-10,13003,-5.0,
2025-09-11,13003,0.0,
2025-09-12,13002,-1.0,
2025-09-15,13002,0.0,
2025-09-16,13002,0.0,
2025-09-17,13002,0.0,
2025-09-18,12974,-28.0,
2025-09-19,12974,0.0,
2025-09-22,12974,0.0,
2025-09-23,12496,-478.0,
2025-09-24,14527,2031.0,
2025-09-25,14527,0.0,
2025-09-26,14327,-200.0,
2025-09-29,12916,-1411.0,
2025-09-30,0,-12916.0,
2025-10-17,2300,2300.0,
2025-10-20,2300,0.0,
2025-10-21,2300,0.0,
2025-10-22,2300,0.0,
2025-10-23,2416,116.0,
2025-10-24,2416,0.0,
2025-10-27,2416,0.0,
2025-10-28,2416,0.0,
2025-10-29,3096,680.0,
2025-10-30,3811,715.0,
2025-10-31,4194,383.0,
2025-11-03,4194,0.0,
2025-11-04,4194,0.0,
2025-11-05,4194,0.0,
2025-11-06,4194,0.0,
2025-11-07,4444,250.0,250.0
2025-11-10,4444,0.0,0.0
2025-11-11,4444,0.0,0.0
2025-11-12,4615,171.0,171.0
2025-11-13,4615,0.0,0.0
2025-11-14,4615,0.0,0.0
2025-11-17,4625,10.0,10.0
2025-11-18,4561,-64.0,-64.0
2025-11-19,4561,0.0,0.0
2025-11-20,4561,0.0,0.0
2025-11-21,4561,0.0,0.0
2025-11-24,4561,0.0,0.0
2025-11-25,4811,250.0,250.0
2025-11-26,4811,0.0,0.0
2025-11-27,4811,0.0,0.0
2025-11-28,4811,0.0,0.0
2025-12-01,4811,0.0,0.0
2025-12-02,4611,-200.0,-200.0
2025-12-03,4611,0.0,0.0
2025-12-04,4611,0.0,0.0
2025-12-05,4611,0.0,0.0
2025-12-08,4611,0.0,0.0
2025-12-09,4611,0.0,0.0
2025-12-10,4611,0.0,0.0
2025-12-11,5476,865.0,865.0
2025-12-12,5476,0.0,0.0
2025-12-15,5476,0.0,0.0
2025-12-16,5476,0.0,0.0
2025-12-17,5226,-250.0,-250.0
2025-12-18,5253,27.0,27.0
2025-12-19,5368,115.0,115.0
2025-12-22,5368,0.0,0.0
2025-12-23,6368,1000.0,1000.0
2025-12-24,6368,0.0,0.0
2025-12-25,6368,0.0,0.0
2025-12-26,6368,0.0,0.0
2025-12-29,6368,0.0,0.0
2025-12-30,6368,0.0,0.0
2025-12-31,6398,30.0,30.0
