date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,LH,14130.0,lh2507,13325.0,lh2509,13800.0,2507.0,2509.0,-805.0,-330.0,-0.056970983722576,-0.0233545647558386
2025-06-17,LH,14180.0,lh2507,13325.0,lh2509,13815.0,2507.0,2509.0,-855.0,-365.0,-0.0602961918194639,-0.0257404795486601
2025-06-18,LH,14170.0,lh2507,13330.0,lh2509,13825.0,2507.0,2509.0,-840.0,-345.0,-0.0592801693719124,-0.0243472124206068
2025-06-19,LH,14200.0,lh2507,13270.0,lh2509,13770.0,2507.0,2509.0,-930.0,-430.0,-0.0654929577464789,-0.030281690140845
2025-06-20,LH,14180.0,lh2507,13305.0,lh2509,13850.0,2507.0,2509.0,-875.0,-330.0,-0.061706629055007,-0.0232722143864597
2025-06-23,LH,14300.0,lh2507,13440.0,lh2509,13960.0,2507.0,2509.0,-860.0,-340.0,-0.0601398601398601,-0.0237762237762237
2025-06-24,LH,14280.0,lh2507,13500.0,lh2509,13975.0,2507.0,2509.0,-780.0,-305.0,-0.0546218487394958,-0.0213585434173669
2025-06-25,LH,14320.0,lh2507,13605.0,lh2509,13980.0,2507.0,2509.0,-715.0,-340.0,-0.0499301675977653,-0.0237430167597765
2025-06-26,LH,14330.0,lh2507,13630.0,lh2509,14025.0,2507.0,2509.0,-700.0,-305.0,-0.0488485694347522,-0.0212840195394278
2025-06-27,LH,14420.0,lh2507,13625.0,lh2509,13990.0,2507.0,2509.0,-795.0,-430.0,-0.055131761442441,-0.0298196948682385
2025-06-30,LH,14480.0,lh2507,13825.0,lh2509,13890.0,2507.0,2509.0,-655.0,-590.0,-0.0452348066298342,-0.0407458563535911
2025-07-01,LH,14620.0,lh2507,13820.0,lh2509,13895.0,2507.0,2509.0,-800.0,-725.0,-0.054719562243502,-0.0495896032831737
2025-07-02,LH,14750.0,lh2507,13950.0,lh2509,14190.0,2507.0,2509.0,-800.0,-560.0,-0.0542372881355932,-0.0379661016949152
2025-07-03,LH,14920.0,lh2507,13920.0,lh2509,14315.0,2507.0,2509.0,-1000.0,-605.0,-0.0670241286863271,-0.0405495978552279
2025-07-04,LH,15020.0,lh2507,13935.0,lh2509,14340.0,2507.0,2509.0,-1085.0,-680.0,-0.072237017310253,-0.0452729693741678
2025-07-07,LH,15000.0,lh2507,13970.0,lh2509,14255.0,2507.0,2509.0,-1030.0,-745.0,-0.0686666666666666,-0.0496666666666666
2025-07-08,LH,14980.0,lh2507,13970.0,lh2509,14270.0,2507.0,2509.0,-1010.0,-710.0,-0.0674232309746328,-0.0473965287049399
2025-07-09,LH,14900.0,lh2507,13950.0,lh2509,14220.0,2507.0,2509.0,-950.0,-680.0,-0.0637583892617449,-0.0456375838926174
2025-07-10,LH,14830.0,lh2507,13970.0,lh2509,14330.0,2507.0,2509.0,-860.0,-500.0,-0.0579905596763317,-0.0337154416722859
2025-07-11,LH,14820.0,lh2507,13950.0,lh2509,14350.0,2507.0,2509.0,-870.0,-470.0,-0.0587044534412956,-0.0317139001349527
2025-07-14,LH,14730.0,lh2507,14000.0,lh2509,14245.0,2507.0,2509.0,-730.0,-485.0,-0.0495587236931432,-0.0329260013577732
2025-07-15,LH,14670.0,lh2507,14000.0,lh2509,14280.0,2507.0,2509.0,-670.0,-390.0,-0.045671438309475,-0.0265848670756646
2025-07-16,LH,14600.0,lh2507,13895.0,lh2509,14100.0,2507.0,2509.0,-705.0,-500.0,-0.0482876712328766,-0.0342465753424657
2025-07-17,LH,14600.0,lh2507,14010.0,lh2509,13985.0,2507.0,2509.0,-590.0,-615.0,-0.0404109589041096,-0.0421232876712328
2025-07-18,LH,14500.0,lh2507,14010.0,lh2509,14115.0,2507.0,2509.0,-490.0,-385.0,-0.0337931034482759,-0.026551724137931
2025-07-21,LH,14480.0,lh2507,14010.0,lh2509,14350.0,2507.0,2509.0,-470.0,-130.0,-0.0324585635359115,-0.0089779005524861
2025-07-22,LH,14450.0,lh2507,14010.0,lh2509,14350.0,2507.0,2509.0,-440.0,-100.0,-0.0304498269896194,-0.0069204152249134
2025-07-23,LH,14420.0,lh2507,14010.0,lh2509,14695.0,2507.0,2509.0,-410.0,275.0,-0.0284327323162274,0.0190707350901526
2025-07-24,LH,14380.0,lh2507,14010.0,lh2509,14345.0,2507.0,2509.0,-370.0,-35.0,-0.0257301808066758,-0.0024339360222531
2025-07-25,LH,14370.0,lh2507,14010.0,lh2509,14435.0,2507.0,2509.0,-360.0,65.0,-0.0250521920668058,0.0045233124565065
2025-07-28,LH,14280.0,lh2507,14000.0,lh2509,14220.0,2507.0,2509.0,-280.0,-60.0,-0.0196078431372549,-0.0042016806722688
2025-07-29,LH,14250.0,lh2509,14145.0,lh2509,14145.0,2509.0,2509.0,-105.0,-105.0,-0.0073684210526315,-0.0073684210526315
2025-07-30,LH,14220.0,lh2509,14120.0,lh2509,14120.0,2509.0,2509.0,-100.0,-100.0,-0.0070323488045006,-0.0070323488045006
2025-07-31,LH,14180.0,lh2509,14125.0,lh2511,13995.0,2509.0,2511.0,-55.0,-185.0,-0.0038787023977433,-0.0130465444287729
2025-08-01,LH,14200.0,lh2509,14010.0,lh2511,13860.0,2509.0,2511.0,-190.0,-340.0,-0.0133802816901408,-0.0239436619718309
2025-08-04,LH,14180.0,lh2509,13880.0,lh2511,13840.0,2509.0,2511.0,-300.0,-340.0,-0.0211565585331452,-0.0239774330042312
2025-08-05,LH,14170.0,lh2509,13900.0,lh2511,13915.0,2509.0,2511.0,-270.0,-255.0,-0.0190543401552575,-0.0179957657021877
2025-08-06,LH,14170.0,lh2509,13825.0,lh2511,13985.0,2509.0,2511.0,-345.0,-185.0,-0.0243472124206068,-0.0130557515878616
2025-08-07,LH,14180.0,lh2509,13825.0,lh2511,14045.0,2509.0,2511.0,-355.0,-135.0,-0.0250352609308885,-0.0095204513399154
2025-08-08,LH,14080.0,lh2509,13895.0,lh2511,14140.0,2509.0,2511.0,-185.0,60.0,-0.0131392045454545,0.0042613636363635
2025-08-11,LH,14020.0,lh2509,13955.0,lh2511,14200.0,2509.0,2511.0,-65.0,180.0,-0.0046362339514978,0.0128388017118401
2025-08-12,LH,13900.0,lh2509,13995.0,lh2511,14235.0,2509.0,2511.0,95.0,335.0,0.0068345323741008,0.0241007194244604
2025-08-13,LH,13870.0,lh2509,13920.0,lh2511,14115.0,2509.0,2511.0,50.0,245.0,0.0036049026676279,0.0176640230713771
2025-08-14,LH,13870.0,lh2509,13905.0,lh2511,13970.0,2509.0,2511.0,35.0,100.0,0.0025234318673394,0.007209805335256
