date,receipt,change
2025-06-03,33397,30.0
2025-06-04,33461,300.0
2025-06-05,33321,0.0
2025-06-06,33309,0.0
2025-06-09,33119,0.0
2025-06-10,32947,40.0
2025-06-11,32837,110.0
2025-06-12,32383,0.0
2025-06-13,32118,0.0
2025-06-16,32043,0.0
2025-06-17,31713,0.0
2025-06-18,29967,0.0
2025-06-19,29957,0.0
2025-06-20,27793,0.0
2025-06-23,26779,0.0
2025-06-24,22375,60.0
2025-06-25,22370,0.0
2025-06-26,22590,220.0
2025-06-27,21998,380.0
2025-06-30,22628,630.0
2025-07-01,22940,570.0
2025-07-02,23180,240.0
2025-07-03,22880,150.0
2025-07-04,21036,220.0
2025-07-07,15555,210.0
2025-07-08,12655,60.0
2025-07-09,13281,682.0
2025-07-10,13191,30.0
2025-07-11,11603,75.0
2025-07-14,11204,0.0
2025-07-15,11203,170.0
2025-07-16,10655,100.0
2025-07-17,10239,0.0
2025-07-18,10239,0.0
2025-07-21,9969,0.0
2025-07-22,10089,120.0
2025-07-23,10754,1060.0
2025-07-24,11654,900.0
2025-07-25,11996,490.0
2025-07-28,12276,
2025-07-29,12276,
2025-07-30,13131,855.0
2025-07-31,5545,-7586.0
2025-08-01,6605,1060.0
2025-08-04,12603,
2025-08-05,14443,1840.0
2025-08-06,15023,
2025-08-07,16443,1420.0
2025-08-08,18829,2386.0
2025-08-11,19389,560.0
2025-08-12,20829,1440.0
2025-08-13,21679,850.0
2025-08-14,21939,260.0
2025-08-15,23485,1546.0
2025-08-18,23555,70.0
2025-08-19,23615,60.0
2025-08-20,24045,430.0
2025-08-21,24320,275.0
2025-08-22,24990,670.0
2025-08-25,25630,640.0
2025-08-26,26690,1060.0
2025-08-27,27477,787.0
2025-08-28,28957,1480.0
2025-08-29,29887,930.0
2025-09-01,31197,1310.0
2025-09-02,32007,810.0
2025-09-03,34118,2111.0
2025-09-04,34948,830.0
2025-09-05,36631,1683.0
2025-09-08,37451,820.0
2025-09-09,38101,650.0
2025-09-10,38101,0.0
2025-09-11,38391,290.0
2025-09-12,38625,234.0
2025-09-15,38963,338.0
2025-09-16,38824,-139.0
2025-09-17,39234,410.0
2025-09-18,39354,120.0
2025-09-19,39484,130.0
2025-09-22,38909,
2025-09-23,39449,540.0
2025-09-24,39749,300.0
2025-09-25,40309,560.0
2025-09-26,40329,20.0
2025-09-29,41119,790.0
2025-09-30,41709,590.0
2025-10-09,42379,670.0
2025-10-10,42669,290.0
2025-10-13,36718,-5951.0
2025-10-14,35180,-1538.0
2025-10-15,33076,-2104.0
2025-10-16,30456,-2620.0
2025-10-17,30686,230.0
2025-10-20,30705,19.0
2025-10-21,29892,-813.0
2025-10-22,29019,-873.0
2025-10-23,28759,-260.0
2025-10-24,28699,-60.0
2025-10-27,27739,-960.0
2025-10-28,27335,-404.0
2025-10-29,27525,190.0
2025-10-30,27641,116.0
2025-10-31,27621,-20.0
2025-11-03,27290,-331.0
2025-11-04,26490,-800.0
2025-11-05,26830,340.0
2025-11-06,26420,-410.0
2025-11-07,27332,912.0
2025-11-10,27491,159.0
2025-11-11,28099,608.0
2025-11-12,28287,188.0
2025-11-13,27508,-779.0
2025-11-14,27170,-338.0
2025-11-17,26953,-217.0
2025-11-18,26611,-342.0
2025-11-19,26766,155.0
2025-11-20,26916,150.0
2025-11-21,26848,-68.0
2025-11-24,26510,-338.0
2025-11-25,26615,105.0
2025-11-26,27050,435.0
2025-11-27,26781,-269.0
2025-11-28,5441,-21340.0
2025-12-01,8222,2781.0
2025-12-02,8992,770.0
2025-12-03,9652,660.0
2025-12-04,10422,770.0
2025-12-05,10922,500.0
2025-12-08,13120,2198.0
2025-12-09,12920,-200.0
2025-12-10,13680,760.0
2025-12-11,14750,1070.0
2025-12-12,15050,300.0
2025-12-15,15260,210.0
2025-12-16,15286,26.0
2025-12-17,15636,350.0
2025-12-18,15636,0.0
2025-12-19,15511,-125.0
2025-12-22,16411,900.0
2025-12-23,16651,240.0
2025-12-24,17101,450.0
2025-12-25,17101,0.0
2025-12-26,17861,760.0
2025-12-29,18191,330.0
2025-12-30,19491,1300.0
2025-12-31,20281,790.0
