date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,AG,8792.33,ag2506,8800.0,ag2508,8824.0,2506.0,2508.0,7.670000000000073,31.67000000000008,0.0008723512425035,0.0036020031095285
2025-06-17,AG,8805.67,ag2507,8824.0,ag2508,8837.0,2507.0,2508.0,18.329999999999927,31.329999999999927,0.0020816133241423,0.0035579348306262
2025-06-18,AG,8962.67,ag2507,8988.0,ag2508,8991.0,2507.0,2508.0,25.329999999999927,28.329999999999927,0.0028261667561118,0.0031608884406097
2025-06-19,AG,8871.0,ag2507,8891.0,ag2508,8913.0,2507.0,2508.0,20.0,42.0,0.0022545372562281,0.004734528238079
2025-06-20,AG,8759.0,ag2507,8712.0,ag2508,8739.0,2507.0,2508.0,-47.0,-20.0,-0.0053659093503825,-0.0022833656810138
2025-06-23,AG,8717.67,ag2507,8725.0,ag2508,8731.0,2507.0,2508.0,7.329999999999927,13.329999999999927,0.000840820999189,0.0015290782972974
2025-06-24,AG,8719.33,ag2507,8747.0,ag2508,8765.0,2507.0,2508.0,27.67000000000008,45.67000000000007,0.0031734089660557,0.0052377877658031
2025-06-25,AG,8668.67,ag2507,8669.0,ag2508,8649.0,2507.0,2508.0,0.3299999999999272,-19.67000000000008,3.806812348372546e-05,-0.0022690908755322
2025-06-26,AG,8747.0,ag2507,8742.0,ag2508,8744.0,2507.0,2508.0,-5.0,-3.0,-0.000571624556991,-0.0003429747341945
2025-06-27,AG,8800.67,ag2507,8799.0,ag2508,8810.0,2507.0,2508.0,-1.6700000000000728,9.329999999999927,-0.0001897582797673,0.0010601465570234
2025-06-30,AG,8680.0,ag2507,8705.0,ag2508,8713.0,2507.0,2508.0,25.0,33.0,0.0028801843317971,0.0038018433179722
2025-07-01,AG,8698.67,ag2507,8728.0,ag2508,8739.0,2507.0,2508.0,29.329999999999927,40.32999999999993,0.0033717798238122,0.0046363409578704
2025-07-02,AG,8698.67,ag2507,8772.0,ag2508,8783.0,2507.0,2508.0,73.32999999999993,84.32999999999993,0.0084300243600459,0.0096945854941041
2025-07-03,AG,8818.33,ag2507,8843.0,ag2510,8893.0,2507.0,2510.0,24.67000000000008,74.67000000000007,0.0027975818550678,0.0084675896683386
2025-07-04,AG,8902.0,ag2507,8909.0,ag2510,8944.0,2507.0,2510.0,7.0,42.0,0.0007863401482812,0.0047180408896876
2025-07-07,AG,8907.0,ag2507,8881.0,ag2510,8933.0,2507.0,2510.0,-26.0,26.0,-0.0029190524306724,0.0029190524306725
2025-07-08,AG,8896.67,ag2507,8909.0,ag2510,8917.0,2507.0,2510.0,12.329999999999927,20.329999999999927,0.0013859118074515,0.0022851246590016
2025-07-09,AG,8873.67,ag2507,8881.0,ag2510,8899.0,2507.0,2510.0,7.329999999999927,25.329999999999927,0.0008260392825065,0.0028545122818406
2025-07-10,AG,8873.67,ag2507,8863.0,ag2510,8885.0,2507.0,2510.0,-10.670000000000073,11.329999999999927,-0.0012024337168273,0.0012768110601362
2025-07-11,AG,9005.0,ag2507,9002.0,ag2510,9017.0,2507.0,2510.0,-3.0,12.0,-0.0003331482509716,0.0013325930038867
2025-07-14,AG,9005.0,ag2507,9121.0,ag2510,9177.0,2507.0,2510.0,116.0,172.0,0.0128817323709049,0.0191004997223764
2025-07-15,AG,9149.67,ag2507,9147.0,ag2510,9184.0,2507.0,2510.0,-2.6700000000000728,34.32999999999993,-0.0002918138031208,0.0037520478880659
2025-07-16,AG,9113.0,ag2508,9134.0,ag2510,9160.0,2508.0,2510.0,21.0,47.0,0.0023044003072534,0.0051574673543288
2025-07-17,AG,9127.67,ag2508,9123.0,ag2510,9149.0,2508.0,2510.0,-4.670000000000073,21.329999999999927,-0.0005116311172511,0.0023368504777232
2025-07-18,AG,9181.0,ag2508,9159.0,ag2510,9186.0,2508.0,2510.0,-22.0,5.0,-0.0023962531314671,0.0005446029844242
2025-07-21,AG,9203.67,ag2508,9224.0,ag2510,9249.0,2508.0,2510.0,20.329999999999927,45.32999999999993,0.0022089014490958,0.0049252091828586
2025-07-22,AG,9328.67,ag2508,9355.0,ag2510,9383.0,2508.0,2510.0,26.329999999999927,54.32999999999993,0.0028224816613728,0.0058239813392477
2025-07-23,AG,9328.67,ag2508,9438.0,ag2510,9465.0,2508.0,2510.0,109.32999999999991,136.32999999999993,0.0117197842779301,0.0146140875387381
2025-07-24,AG,9420.0,ag2508,9381.0,ag2510,9421.0,2508.0,2510.0,-39.0,1.0,-0.004140127388535,0.0001061571125264
2025-07-25,AG,9387.33,ag2508,9346.0,ag2510,9372.0,2508.0,2510.0,-41.32999999999993,-15.329999999999927,-0.0044027428459423,-0.0016330522097337
2025-07-28,AG,9159.33,ag2508,9212.0,ag2510,9225.0,2508.0,2510.0,52.67000000000007,65.67000000000007,0.0057504206093677,0.0071697383978959
2025-07-29,AG,9159.33,ag2508,9168.0,ag2510,9192.0,2508.0,2510.0,8.670000000000073,32.67000000000007,0.0009465757866569,0.0035668547808627
2025-07-30,AG,9166.33,ag2508,9183.0,ag2510,9212.0,2508.0,2510.0,16.670000000000073,45.67000000000007,0.0018186122472134,0.0049823648068529
2025-07-31,AG,8962.0,ag2508,9029.0,ag2510,9059.0,2508.0,2510.0,67.0,97.0,0.0074760098192367,0.010823476902477
2025-08-01,AG,8962.0,ag2508,8902.0,ag2510,8923.0,2508.0,2510.0,-60.0,-39.0,-0.0066949341664807,-0.0043517072082124
2025-08-04,AG,8940.67,ag2508,8986.0,ag2510,9001.0,2508.0,2510.0,45.32999999999993,60.32999999999993,0.0050700898254829,0.0067478164388128
2025-08-05,AG,9058.0,ag2508,9030.0,ag2510,9074.0,2508.0,2510.0,-28.0,16.0,-0.0030911901081916,0.0017663943475381
2025-08-06,AG,9148.67,ag2508,9147.0,ag2510,9160.0,2508.0,2510.0,-1.6700000000000728,11.329999999999927,-0.000182540194367,0.00123843137855
2025-08-07,AG,9177.0,ag2508,9184.0,ag2510,9201.0,2508.0,2510.0,7.0,24.0,0.0007627765064837,0.0026152337365152
2025-08-08,AG,9231.33,ag2508,9254.0,ag2510,9277.0,2508.0,2510.0,22.67000000000008,45.67000000000007,0.0024557674787923,0.004947282785904
2025-08-11,AG,9189.33,ag2508,9220.0,ag2510,9244.0,2508.0,2510.0,30.67000000000008,54.67000000000007,0.0033375665037602,0.0059492911888026
2025-08-12,AG,9139.67,ag2508,9154.0,ag2510,9169.0,2508.0,2510.0,14.329999999999927,29.329999999999927,0.0015678903067615,0.003209087417817
2025-08-13,AG,9202.67,ag2508,9177.0,ag2510,9215.0,2508.0,2510.0,-25.67000000000008,12.329999999999927,-0.0027894078566329,0.0013398285497578
2025-08-14,AG,9313.0,ag2508,9295.0,ag2510,9319.0,2508.0,2510.0,-18.0,6.0,-0.0019327821325029,0.0006442607108343
2025-08-15,AG,9168.0,ag2508,9192.0,ag2510,9208.0,2508.0,2510.0,24.0,40.0,0.0026178010471205,0.0043630017452007
2025-08-18,AG,9168.0,ag2509,9203.0,ag2510,9210.0,ag2509,ag2510,35.0,42.0,0.0038176265270506,0.0045811518324607
2025-08-19,AG,9160.33,ag2509,9194.0,ag2510,9213.0,ag2509,ag2510,33.67000000000007,52.67000000000007,0.003675631773091,0.0057497928568075
2025-08-20,AG,9160.33,ag2509,9081.0,ag2510,9105.0,ag2509,ag2510,-79.32999999999993,-55.32999999999993,-0.0086601683563801,-0.0060401754085278
2025-08-21,AG,9152.67,ag2509,9147.0,ag2510,9159.0,ag2509,ag2510,-5.670000000000073,6.329999999999927,-0.0006194913615371,0.0006916014671127
2025-08-22,AG,9205.67,ag2509,9207.0,ag2510,9220.0,2509.0,2510.0,1.3299999999999272,14.329999999999927,0.0001444761760958,0.0015566493259044
2025-08-25,AG,9338.67,ag2509,9331.0,ag2510,9344.0,ag2509,ag2510,-7.670000000000073,5.329999999999927,-0.0008213160974742,0.0005707450846854
2025-08-27,AG,9322.33,ag2509,9313.0,ag2510,9325.0,ag2509,ag2510,-9.329999999999927,2.6700000000000728,-0.0010008227556844,0.0002864090844241
2025-08-28,AG,9325.0,ag2509,9332.0,ag2510,9321.0,ag2509,ag2510,7.0,-4.0,0.0007506702412869,-0.0004289544235924
2025-08-29,AG,9325.0,ag2509,9374.0,ag2512,9409.0,ag2509,ag2512,49.0,84.0,0.0052546916890079,0.0090080428954424
2025-09-01,AG,9637.33,ag2509,9626.0,ag2512,9632.0,ag2509,ag2512,-11.329999999999927,-5.329999999999927,-0.0011756368205716,-0.0005530577452468
2025-09-02,AG,9637.33,ag2509,9825.0,ag2512,9862.0,ag2509,ag2512,187.67000000000007,224.67000000000007,0.0194732358443676,0.0233124734755372
2025-09-03,AG,9813.67,ag2509,9791.0,ag2512,9809.0,ag2509,ag2512,-22.67000000000008,-4.670000000000073,-0.0023100430318117,-0.0004758668265796
2025-09-04,AG,9813.67,ag2509,9786.0,ag2512,9856.0,ag2509,ag2512,-27.67000000000008,42.32999999999993,-0.002819536422154,0.0043133710426375
2025-09-05,AG,9760.67,ag2509,9760.0,ag2512,9786.0,ag2509,ag2512,-0.6700000000000728,25.329999999999927,-6.864282882224071e-05,0.0025951087374125
2025-09-08,AG,9732.0,ag2509,9778.0,ag2512,9831.0,ag2509,ag2512,46.0,99.0,0.0047266748869707,0.0101726263871764
2025-09-09,AG,9835.33,ag2509,9844.0,ag2512,9889.0,ag2509,ag2512,8.670000000000073,53.67000000000007,0.0008815159226991,0.0054568580820368
2025-09-10,AG,9835.33,ag2509,9779.0,ag2512,9794.0,ag2509,ag2512,-56.32999999999993,-41.32999999999993,-0.0057273116407888,-0.0042021975876762
2025-09-11,AG,9788.0,ag2509,9785.0,ag2512,9824.0,ag2509,ag2512,-3.0,36.0,-0.0003064977523498,0.0036779730281977
2025-09-12,AG,9983.0,ag2509,9865.0,ag2512,9963.0,ag2509,ag2512,-118.0,-20.0,-0.0118200941600721,-0.0020034057898427
2025-09-15,AG,9978.67,ag2509,9956.0,ag2512,10052.0,ag2509,ag2512,-22.67000000000008,73.32999999999993,-0.002271845847192,0.0073486747231845
2025-09-16,AG,10110.33,ag2510,10084.0,ag2512,10111.0,ag2510,ag2512,-26.329999999999927,0.6700000000000728,-0.0026042671208555,6.62688557149238e-05
2025-09-17,AG,9927.0,ag2510,10014.0,ag2512,10030.0,ag2510,ag2512,87.0,103.0,0.008763977032336,0.0103757429233404
2025-09-18,AG,9927.0,ag2510,9882.0,ag2512,9908.0,ag2510,ag2512,-45.0,-19.0,-0.0045330915684497,-0.0019139719955676
2025-09-19,AG,9878.33,ag2510,9903.0,ag2512,9938.0,ag2510,ag2512,24.67000000000008,59.67000000000007,0.0024973856917109,0.0060404946990026
2025-11-17,AG,12398.0,ag2511,11963.0,ag2602,12004.0,2511,2602,-435.0,-394.0,-0.0350863042426198,-0.0317793192450395
2025-11-18,AG,11773.33,ag2512,11873.0,ag2602,11888.0,2512,2602,99.67000000000009,114.67000000000009,0.0084657441862243,0.0097398102321093
2025-11-19,AG,11957.33,ag2512,11947.0,ag2602,11960.0,2512,2602,-10.329999999999927,2.6700000000000728,-0.0008639052363696,0.0002232939962349
2025-11-20,AG,12079.33,ag2512,12126.0,ag2602,12129.0,2512,2602,46.67000000000007,49.67000000000007,0.0038636248864796,0.0041119830321714
2025-11-21,AG,11891.0,ag2512,11948.0,ag2602,11944.0,2512,2602,57.0,53.0,0.0047935413337818,0.0044571524682532
2025-11-24,AG,11891.0,ag2512,11810.0,ag2602,11802.0,2512,2602,-81.0,-89.0,-0.0068118745269531,-0.0074846522580102
2025-11-25,AG,12146.0,ag2512,12014.0,ag2602,12012.0,2512,2602,-132.0,-134.0,-0.0108677753993083,-0.0110324386629343
2025-11-26,AG,12146.0,ag2512,12120.0,ag2602,12119.0,2512,2602,-26.0,-27.0,-0.0021406224271365,-0.0022229540589494
